X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
4.76281700000004,6.78888300000006,1040,Wells and Ore Farm,D18_30,6.788883,4.762817,15-30 cm,2,5.8,0.152025,1.451621,4.3107,221.5962,90.86184,29.170164,19.97872,65.150751,2.271253,19.536155,114.850679
4.76554100000004,6.79170100000005,1041,Wells and Ore Farm,D19_15,6.791701,4.765541,0-15 cm,1,5.9,0.333997,2.94262,7.79196,454.6496,154.12068,54.574216,19.38739,20.063091,0.616781,23.89338,123.841955
4.76554100000004,6.79170100000005,1042,Wells and Ore Farm,D19_30,6.791701,4.765541,15-30 cm,2,5.5,0.191214,1.800876,3.2868,361.4282,103.17396,25.540902,18.43082,32.94528,1.089487,9.512019,112.890176
4.76047600000004,6.74286400000005,1043,Wells and Ore Farm,E2_15,6.742864,4.760476,0-15 cm,1,5.5,0.235852,1.854902,2.46768,529.8092,74.72868,58.203087,19.6742,32.609806,4.913498,29.801908,185.696798
4.76047600000004,6.74286400000005,1044,Wells and Ore Farm,E2_30,6.742864,4.760476,15-30 cm,2,5.9,0.115464,1.017909,3.08202,436.588,61.14288,32.799426,15.93118,25.699049,2.487179,9.004815,166.935037
4.76041400000003,6.74825800000002,1045,Wells and Ore Farm,E4_15,6.748258,4.760414,0-15 cm,1,5.5,0.138218,0.938576,1.85334,436.588,95.10744,40.057559,17.77946,10.826383,0.353187,13.439857,221.596706
4.76041400000003,6.74825800000002,1046,Wells and Ore Farm,E4_30,6.748258,4.760414,15-30 cm,2,5.3,0.108833,0.934104,2.05812,296.756,67.93584,29.170164,20.19722,13.303297,1.522497,6.749708,166.213431
4.76041300000003,6.75100000000003,1047,Wells and Ore Farm,E5_15,6.751,4.760413,0-15 cm,1,7.5,0.188102,1.335795,20.89788,1205.6638,162.18732,36.428297,20.17928,14.902388,1.434799,29.175489,168.739053
4.76041300000003,6.75100000000003,1048,Wells and Ore Farm,E5_30,6.751,4.760413,15-30 cm,2,7.3,0.090996,1.048306,18.44052,692.9466,86.61624,18.282769,20.08015,14.108434,2.516411,15.669907,175.594312
4.76043800000002,6.75365900000003,1049,Wells and Ore Farm,E6_15,6.753659,4.760438,0-15 cm,1,6.2,0.28439,1.794643,12.5019,553.1146,180.86772,50.944954,20.20504,54.247857,1.405566,31.104858,187.04981
4.76043800000002,6.75365900000003,1050,Wells and Ore Farm,E6_30,6.753659,4.760438,15-30 cm,2,6.3,0.229067,1.254148,13.93536,506.504,79.8234,36.428297,20.19584,35.601113,1.23017,32.057014,179.382744
4.76037700000006,6.75636500000007,1051,Wells and Ore Farm,E7_15,6.756365,4.760377,0-15 cm,1,7.3,0.384182,2.231144,52.84356,995.9158,270.02448,36.428297,20.08015,20.28674,0.294721,89.386831,139.694404
4.76037700000006,6.75636500000007,1052,Wells and Ore Farm,E7_30,6.756365,4.760377,15-30 cm,2,7.1,0.146478,1.692182,19.6692,576.42,129.07188,25.540902,19.83474,72.805141,0.820911,31.831503,129.86252
4.76045100000005,6.75914200000005,1053,Wells and Ore Farm,E8_15,6.759142,4.760451,0-15 cm,1,5.9,0.39564,2.971988,9.02064,856.0838,334.557,54.574216,15.38769,16.378472,1.844058,35.590014,160.169979
4.76045100000005,6.75914200000005,1054,Wells and Ore Farm,E8_30,6.759142,4.760451,15-30 cm,2,5.2,0.236858,1.173289,5.94894,576.42,151.99788,29.170164,20.19584,15.601292,2.341015,15.093602,142.941632
4.76033600000005,6.76178600000003,1055,Wells and Ore Farm,E9_15,6.761786,4.760336,0-15 cm,1,5.7,0.332732,3.000419,4.92504,623.0306,331.16064,58.203087,20.17928,16.753085,0.733213,29.200546,142.220026
4.76033600000005,6.76178600000003,1056,Wells and Ore Farm,E9_30,6.761786,4.760336,15-30 cm,2,5.4,0.199925,2.240127,2.67246,529.8092,172.37664,40.057559,19.35864,16.948778,2.662575,13.064006,133.650952
4.76026700000006,6.76485000000002,1057,Wells and Ore Farm,E10_15,6.76485,4.760267,0-15 cm,1,7.4,0.20089,2.722186,25.8126,1601.8544,185.11332,29.170164,19.10794,18.749153,0.49935,33.911213,187.410613
4.76026700000006,6.76485000000002,1058,Wells and Ore Farm,E10_30,6.76485,4.760267,15-30 cm,2,7.5,0.125177,1.617147,23.35524,879.3892,108.69324,18.282769,19.56518,18.732379,0.528583,20.480801,204.007555
4.76033300000006,6.76731700000005,1059,Wells and Ore Farm,E11_15,6.767317,4.760333,0-15 cm,1,5.1,0.16323,2.020934,1.85334,459.8932,106.995,32.799426,19.56518,17.692411,0.353187,9.80663,238.644652
4.76033300000006,6.76731700000005,1060,Wells and Ore Farm,E11_30,6.767317,4.760333,15-30 cm,2,5.1,0.148721,1.665279,4.72026,320.0612,100.20204,25.540902,19.57714,13.812099,0.70398,9.430779,214.741447
4.76025000000004,6.77265000000006,1061,Wells and Ore Farm,E12_15,6.77265,4.76025,0-15 cm,1,6.5,0.349169,1.472191,6.76806,599.7252,245.40024,58.203087,18.33859,6.98521,0.674747,67.236674,133.921555
4.76025000000004,6.77265000000006,1062,Wells and Ore Farm,E12_30,6.77265,4.76025,15-30 cm,2,7,0.23411,1.622147,35.43726,553.1146,233.51268,43.686821,20.1503,7.292728,1.376333,31.129915,141.137616
4.76038300000005,6.76993300000004,1063,Wells and Ore Farm,E13_15,6.769933,4.760383,0-15 cm,1,7.1,0.384883,2.760938,131.1108,949.3052,459.37656,83.607139,17.79832,8.791177,1.610196,64.179752,160.440582
4.76038300000005,6.76993300000004,1064,Wells and Ore Farm,E13_30,6.769933,4.760383,15-30 cm,2,6.7,0.270674,1.89123,7.17762,553.1146,208.03932,61.832349,20.05646,7.963675,0.528583,62.926915,142.76123
4.75998300000003,6.77520000000004,1065,Wells and Ore Farm,E14_15,6.7752,4.759983,0-15 cm,1,5.8,0.098378,3.018314,2.46768,459.8932,126.52452,43.686821,17.79832,6.263942,1.756359,13.640311,141.137616
4.75998300000003,6.77520000000004,1066,Wells and Ore Farm,E14_30,6.7752,4.759983,15-30 cm,2,5.9,0.197816,2.132281,3.08202,459.8932,117.18432,36.428297,20.16111,6.140935,0.294721,9.430779,172.166682
4.76077000000004,6.77810000000005,1067,Wells and Ore Farm,E15_15,6.7781,4.76077,0-15 cm,1,7.1,0.192768,1.135285,11.68278,576.42,283.61028,50.944954,20.13443,4.318195,1.317868,27.596915,146.008458
